GEOID10,ACCESS2_CrudePrev,BINGE_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,LPA_CrudePrev,MHLTH_CrudePrev,"1,3-butadiene",Acetaldehyde,Benzene,Carbon tetrachloride,Diesel Particulate Matter,Ethylene oxide,Formaldehyde,Napthalene,Severe_Housing_Problems,Housing_Cost_Burden,Total_households_with_internet,Unemploymen_ rate,Median_income
17031390200,6.5,16.0,10.8,3.1,12.3,10.0,23.2,13.6,0.02,0.64,0.4,0.52,0.76,0.0,0.89,0.03,40,95,854,8.9,145179
17031171000,9.8,18.9,8.9,5.2,13.4,9.0,24.7,13.5,0.03,0.63,0.35,0.52,0.46,0.0,0.95,0.03,230,130,2027,6.1,101685
17031180100,12.9,18.1,9.0,5.4,13.8,10.2,28.1,14.1,0.03,0.63,0.35,0.52,0.46,0.0,0.94,0.03,310,350,2107,0.8,104754
17031390300,11.9,11.1,12.7,8.1,21.0,20.7,39.9,17.6,0.02,0.64,0.4,0.52,0.77,0.0,0.89,0.03,35,325,1101,22.0,-
17031390700,5.3,14.7,9.5,4.5,8.3,10.7,21.6,11.6,0.02,0.61,0.34,0.52,0.59,0.0,0.9,0.02,150,625,3016,6.9,101302
17031400300,12.2,14.1,12.8,4.6,21.8,14.3,36.1,19.0,0.02,0.61,0.33,0.52,0.55,0.0,0.92,0.02,10,105,564,13.8,88889
17031400400,12.9,14.3,13.1,4.3,22.5,13.7,36.0,19.4,0.02,0.61,0.33,0.52,0.54,0.0,0.92,0.02,45,165,657,18.0,41439
17031400500,13.2,12.2,13.5,6.1,23.1,17.4,39.9,20.0,0.02,0.61,0.33,0.52,0.55,0.0,0.92,0.02,50,355,1157,18.0,33810
17031400800,18.0,11.6,14.8,7.0,30.0,19.7,47.3,23.0,0.02,0.61,0.32,0.52,0.54,0.0,0.92,0.02,0,365,1251,18.2,22992
17031410100,6.4,17.4,9.4,3.9,9.6,9.4,20.7,12.5,0.02,0.61,0.32,0.52,0.53,0.0,0.91,0.02,15,295,1260,1.4,185257
17031440300,7.7,12.2,11.0,6.7,13.9,17.0,31.5,13.1,0.02,0.61,0.32,0.52,0.52,0.0,0.91,0.02,230,255,2003,21.2,106726
17031440700,8.4,12.2,11.2,6.8,15.2,17.5,32.9,13.9,0.02,0.61,0.32,0.52,0.54,0.0,0.91,0.02,4,60,504,13.3,95339
17031430800,7.8,13.1,10.9,5.8,14.6,15.5,30.5,13.6,0.02,0.59,0.29,0.52,0.4,0.0,0.9,0.02,80,130,717,20.7,69286
17031671800,15.2,12.1,13.0,8.1,24.5,20.9,43.6,19.4,0.02,0.61,0.32,0.52,0.47,0.0,0.91,0.02,45,45,347,24.4,50250
17031680500,15.4,11.8,13.5,7.5,26.5,20.6,44.8,20.7,0.02,0.62,0.34,0.52,0.58,0.0,0.93,0.03,10,130,508,16.3,44583
17031681100,15.7,11.9,13.9,7.3,25.3,19.4,43.2,20.4,0.02,0.61,0.32,0.52,0.47,0.0,0.91,0.02,55,175,744,9.0,36347
17031200100,19.2,18.5,8.7,4.3,12.7,10.4,30.5,13.8,0.03,0.64,0.37,0.52,0.67,0.0,0.95,0.03,140,120,1057,7.4,103594
17031410200,8.0,20.2,9.7,2.2,12.0,5.9,21.6,16.8,0.02,0.61,0.32,0.52,0.54,0.0,0.92,0.02,10,195,687,0.3,101898
17031680600,18.1,12.3,13.8,7.3,27.4,19.1,45.2,21.3,0.02,0.62,0.34,0.52,0.57,0.0,0.93,0.02,10,105,354,15.7,53353
17031170600,8.3,18.1,8.9,5.8,14.0,9.3,25.3,13.5,0.03,0.66,0.33,0.52,0.46,0.0,0.99,0.02,115,0,817,6.9,86184
17031430300,14.9,11.7,14.2,6.7,27.2,19.7,44.1,22.0,0.02,0.6,0.31,0.52,0.49,0.0,0.91,0.02,90,265,957,15.0,43802
17031430700,12.1,12.1,12.2,7.5,20.0,18.8,38.3,16.8,0.02,0.59,0.29,0.52,0.4,0.0,0.89,0.02,45,540,1191,25.9,70867
17031430900,9.4,13.2,12.1,5.9,16.9,16.4,32.7,15.8,0.02,0.6,0.3,0.52,0.43,0.0,0.9,0.02,30,115,742,10.0,61964
17031431200,7.5,13.4,11.0,5.6,13.5,14.9,28.8,13.4,0.02,0.59,0.29,0.52,0.41,0.0,0.9,0.02,45,175,1068,10.2,81705
17031431400,12.4,12.0,12.6,7.6,23.0,20.5,40.4,17.9,0.02,0.59,0.28,0.52,0.39,0.0,0.89,0.02,0,710,2912,8.2,40229
17031230800,24.3,17.3,9.5,4.7,14.4,12.7,35.5,15.6,0.02,0.64,0.34,0.52,0.52,0.0,0.95,0.04,20,55,345,7.0,95833
17031231100,16.5,14.3,11.8,5.7,19.6,15.8,37.5,17.4,0.02,0.64,0.34,0.52,0.53,0.0,0.95,0.04,20,30,336,8.4,60909
